vector_size=128, window=15, alpha=0.00010079986279377122, min_alpha=0.005382535144114676, negative=7, sg=1, score=24.154812222138933
vector_size=128, window=9, alpha=0.0002207205246608521, min_alpha=0.00982497271388092, negative=15, sg=1, score=23.69927864239461
vector_size=128, window=15, alpha=0.00017187548297999903, min_alpha=0.005646060384379393, negative=7, sg=1, score=24.195175957052985
vector_size=128, window=14, alpha=0.0011595935675068813, min_alpha=0.006270803548851043, negative=7, sg=1, score=24.188833084423635
vector_size=128, window=13, alpha=0.00022653718547531007, min_alpha=0.0031343213173721696, negative=9, sg=1, score=23.940884427094446
vector_size=128, window=15, alpha=0.00040872230188293763, min_alpha=0.0019314839300182036, negative=12, sg=1, score=23.67275390230823
vector_size=32, window=11, alpha=0.0012147184446007775, min_alpha=0.004070163944490586, negative=6, sg=1, score=23.169360465451525
vector_size=64, window=14, alpha=0.00016377562985304408, min_alpha=0.007201511022253221, negative=6, sg=1, score=24.272443678174174
vector_size=64, window=13, alpha=0.0004400941717879239, min_alpha=0.007350250712005684, negative=5, sg=1, score=24.29608529433812
vector_size=64, window=13, alpha=0.00045056845889853293, min_alpha=0.009734422798697044, negative=6, sg=1, score=24.420636247787204
vector_size=64, window=13, alpha=0.0004757147478457525, min_alpha=0.00010361726519386557, negative=9, sg=1, score=15.639217404842496
vector_size=64, window=12, alpha=0.0015721750463500315, min_alpha=0.00893264594397581, negative=12, sg=1, score=24.1392433529578
vector_size=64, window=14, alpha=0.0003308480353779969, min_alpha=0.006731470698375829, negative=20, sg=1, score=23.75348137213634
vector_size=64, window=14, alpha=0.0005635550810128524, min_alpha=0.0046604861920787315, negative=6, sg=1, score=24.0579392583452
vector_size=64, window=13, alpha=0.0001358502720251725, min_alpha=0.00323938109116707, negative=6, sg=1, score=23.910323313516663
vector_size=64, window=11, alpha=0.0017406399974165168, min_alpha=0.00045572661148288445, negative=5, sg=1, score=20.97933953397185
vector_size=64, window=14, alpha=0.00017044011011609672, min_alpha=0.009973659986524417, negative=6, sg=1, score=24.421789497356176
vector_size=64, window=12, alpha=0.005630878948592163, min_alpha=0.0002861220393835227, negative=8, sg=1, score=23.572421189807578
